001 	Amacuzac 	Amacuzac 	1868 	Amatl «amate», koztik «amarillo», átl «agua» y co «lugar»: «En el río de amarillos amates». 	17 598 	117.2 	
002 	Atlatlahucan 	Atlatlahucan 	1932 	Átl «agua», atlatlaul «rojo, ocre, bermejo» y can «lugar propio»: «Donde hay agua rojiza o colorada». 	25 232 	79.4 	
003 	Axochiapan 	Axochiapan 	1898 	Ayoxochitl «Fruto de calabaza en flor», átl «agua» y pan «sobre»: «Río de ayoxochiles o flor de calabaza». 	39 174 	141.5 	
004 	Ayala 	Ciudad Ayala 	1868 	Nombrado así en honor del insurgente Francisco Ayala.nota 2​ 	89 834 	368.3 	
005 	Coatlán del Río 	Coatlán del Río 	1861 	Cóatl «serpiente» y tlán «abundancia»: «Lugar donde abundan las serpientes». 	10 520 	83,4 	
006 	Cuautla 	Cuautla 	1824 	Cuahuítl, «árbol» y tlán «abundancia»: «Arboleda o bosque». 	187 118 	121.9 	
007 	Cuernavaca 	Cuernavaca 	1824 	Cuahuítl, «árbol» y nauak «junto, juntos, unidos»: «Lugar donde hay árboles juntos». 	378 476 	199.7 	
008 	Emiliano Zapata 	Emiliano Zapata 	1932 	Nombrado así en honor al cuadillo revolucionario Emiliano Zapata.nota 3​ 	107 053 	68.37 	
009 	Huitzilac 	Huitzilac 	1921 	Huitzitzillin «colibrí», átl «agua» y co «lugar»: «En agua de colibríes». 	24 515 	189.1 	
010 	Jantetelco 	Jantetelco 	1826 	Xamtli «adobe», tetelli «promontorio, cerro artificial» y co «lugar»: : «En el montón de adobes». 	18 402 	102.3 	
011 	Jiutepec 	Jiutepec 	1826 	Xiuitl «Yerba, año o turquesa», tepétl «cerro, monte» y co «lugar»: : «En el cerro verde o turquesa». 	215 357 	55.9 	
012 	Jojutla 	Jojutla de Juárez 	1847 	Xoxouki «color azul cielo, añil» y tlán «abundancia»: «Lugar abundante en pintura». 	57 682 	149.0 	
013 	Jonacatepec 	Jonacatepec de Leandro Valle 	1825 	Xonacátl «cebolla», tepétl «cerro, monte» y co «lugar»: : «En el cerro de las cebollas». 	16 694 	90.3 	
014 	Mazatepec 	Mazatepec 	1849 	Mazatl «venado», tepétl «cerro, monte» y co «lugar»: : «En el cerro de los venados». 	9653 	57.9 	
015 	Miacatlán 	Miacatlán 	1826 	Mitl «flecha», acátl «carrizo, caña» y tlán «abundancia»: «Lugar abundante en cañas para flechas». 	15 802 	162.9 	
016 	Ocuituco 	Ocuituco 	1826 	Ocuilto «gorgojo» y co «lugar»: «En donde hay gorgojos». 	19 219 	86.5 	
017 	Puente de Ixtla 	Puente de Ixtla 	1826 	Itztli «obsidiana» y tlán «abundancia»: «Lugar donde hay obsidiana en abundancia». 	40 018 	237.2 	
018 	Temixco 	Temixco 	1933 	Cetl «piedra», miztli «león» y co «lugar»: «En el león de la piedra». 	122 263 	102.89 	
019 	Tepalcingo 	Tepalcingo 	1826 	Tecpatl «pedernal», tzintli «salva honor» y co «lugar»: «Abajo o detrás de los pedernales». 	28 122 	368.6 	
020 	Tepoztlán 	Tepoztlán 	1826 	Tepoztli «fierro o cobre» y tlán «abundancia»: «Lugar donde hay mucho hierro o cobre». 	54 987 	242.4 	
021 	Tetecala 	Tetecala de la Reforma 	1826 	Tetl «piedra», calli «casa» y tlán «abundancia»: : «Donde hay casas de piedra». 	7617 	67.7 	
022 	Tetela del Volcán 	Tetela del Volcán 	1937 	Tetl «piedra» y tlán «abundancia»: : «Lugar donde hay muchas piedras del volcán (Lugar entre piedras del volcán, Donde hay muchas piedras, pedregal)». 	14 853 	79.3 	
023 	Tlalnepantla 	Tlalnepantla 	1848 	Tlalli «tierra», nepantla «en medio»: «En medio de las tierras». 	7943 	107.9 	
024 	Tlaltizapán de Zapata 	Tlaltizapán 	1826 	Tlalli «tierra», tizatl «polvo blanco» y pan «sobre»: «Sobre blanca tierra». 	52 399 	238.5 	
025 	Tlaquiltenango 	Tlaquiltenango 	1826 	Tlakilli «escalado o bruñido», tenamitl «muro, construcción» y co «lugar»: «En los muros bruñidos o escalados». 	33 789 	543.9 	
026 	Tlayacapan 	Tlayacapan 	1826 	Tlalli «tierra», acatl «nariz, punta del cerro» y pan «sobre»: «Sobre la punta de la tierra». 	19 408 	57.2 	
027 	Totolapan 	Totolapan 	1826 	Totolli «ave», átl «agua» y pan «sobre»: «Sobre agua, gallaretas». 	12 750 	60.08 	
028 	Xochitepec 	Xochitepec 	1826 	Xóchitl «flor», tepétl «cerro» y co «lugar»: «En el cerro de las flores». 	73 539 	93.2 	
029 	Yautepec 	Yautepec de Zaragoza 	1826 	Yautli «pericón», tepétl «cerro» y co «lugar»: «En el cerro del pericón». 	105 780 	179.6 	
030 	Yecapixtla 	Yecapixtla 	1826 	Ecátl «aire», pitzauac «cosa delgada» y tlán «abundancia»: «Lugar de sutiles aires». 	56 083 	173.2 	
031 	Zacatepec 	Zacatepec de Hidalgo 	1938 	Zacatl «zacate, grama», tepétl «cerro» y co «lugar»: «En el cerro del zacate o grama». 	36 094 	30.7 	
032 	Zacualpan 	Zacualpan de Amilpas 	1826 	Tzacualli «cosa tapada» y pan «sobre»: «Sobre cosa tapada». 	9965 	53.8 	
033 	Temoac 	Temoac 	1977 	Temoa «bajar», átl «agua» y co «lugar»: «En agua baja». 	16 574 	37.1 	
034 	Coatetelco 	Coatetelco 	2019 	Cóatl «serpiente», tetelli «promontorio, cerro artificial» y co «lugar»: «En el montón de serpientes». 	11 347 	51.6 	
035 	Xoxocotla 	Xoxocotla 	2019 	Xogotl «ciruelo agrio», Xoxocotla «Lugar de ciruelos agrios». 	27 805 	61.7 	
036 	Hueyapan 	San Andrés Hueyapan 	2019 	Huey «grande» y apan «río»: «En el río grande». 	7855 	19.2 	