Municipio 	Latitud norte 	Longitud oeste 	Altitud msnm
Amacuzac 	18° 32' 	99° 22' 	982
Atlatlahucan 	18° 56' 	98° 54' 	1656
Axochiapan 	18° 30' 	98° 45' 	1030
Ayala 	18° 46' 	98° 59' 	1220
Coatlán del Río 	18° 45’ 5’’ 	99° 26’ 8’’ 	1010
Cuautla 	18° 49’’ 	99° 01’ 	1330
Cuernavaca 	19° 02" 	99° 20" 	1480
Emiliano Zapata 	19° 07′ 20″ 	99° 10′ 20″ 	1,213
Jantetelco 	18° 42′ 30″ 	98° 46′ 12″ 	1160
Jiutepec 	18° 53’ 	99° 10′ 	1350
Jojutla de Juárez 	18° 41′ 	99° 09′ 	890
Jonacatepec 	18° 41’ 	98° 48′ 	1290
Mazatepec 	18° 43′ 37″ 	99° 21′ 43″ 	980
Miacatlán 	18° 45’ 	99° 21′ 	1054
Ocuituco 	18° 52′ 03″ 	98° 46′ 	1920
Puente de Ixtla 	18° 43′ 	99° 22′ 	900
Temixco 	18° 51’ 	99° 14′ 	1280
Temoac 	18° 50′ 23″ 	99° 10′ 32″ 	1760
Tepalcingo 	18° 36’ 	-- 	1160
Tepoztlán 	18° 59’ 	-- 	1700
Tetecala 	18° 43’ 	-- 	980
Tetela del Volcán 	18° 53' 	-- 	1920
Tlalnepantla 	19° 00' 	-- 	2060
Tlaltizapán 	18° 41' 	99° 	940
Tlaquiltenango 	18° 37' 	99° 	911
Tlayacapan 	18° 57' 	-- 	1640
Totolapan 	18° 59' 	-- 	1900
Xochitepec 	18° 47' 	-- 	1110
Yautepec 	18° 58' 	-- 	1210
Yecapixtla 	18° 53' 	-- 	1580
Zacatepec de Hidalgo 	18° 40' 	99° 	910
Zacualpan de Amilpas 	18° 47' 	-- 	1640 